Comment,Likes,Dislikes
Everyone in Maharashtra knows that it will be suicidal for SS to join hands with their arch rivals NCP & Congress. Further its high time that BJP dumps SS to teach them a lesson.,242,9
Shiv Sena will finally lick what they spitted out... that's the only truth,191,2
"""Dharma"", ??? seems to be interested in ""Adharma"".",159,3
"CHEAP AND BLACKMAILING TACTICS BY SHIVSENA. IT TRIED WITH SP, AND WHEN IT REFUSED NOW AGAIN TALKING ABOUT DHARMA. THE ONLY DHARMA IT BELIEVES IS DESPITE ITS NUMBERS IT WANTS THE CHAIR OF CM FOR ESTABLISHING A FAMILY RULE.",122,1
aukat me aa Gaye besharam,104,1
As NCP says they will sit in opposition..... Sena says ready for talks. Should BJP trust sena????,90,0
"Mr. Sanjay, this shows your credential. you can't decide your partnership with BJP for last one week. how your leadership will drive the state of Maharashtra in development path once you're in power? There is no difference between you and a 5th STD Student when it comes to take decision.",82,0
It is very sad that Sena spokesman Sanjay Raut seemed to be getting undue publicity for blackmailing BJP. It is equally a matter of surprise that why BJP had been allowing Shiv Sena to spoil the image of coalition having got taste of criticism that continuously came from SS for all the last five years. At times it was seen as imminent that SS will join opponents to compete hate speech against Modiji for no good reason.A spoiled ally is more harmful than a principled opponent.,76,0
"SS understand that it will be backfire. So, they become Paltubaba of Maharashtra.",56,0
"The biggest mistake BJP and Shah have committed was to have entered into a pre election alliance with SS. SS is the most difficult alliance partner in India and in the words of FM , it''s a most challenging alliance partner. BJP''s best option now is to keep quiet and make SS run around looking for support from the wily Pawar and unreliable Congress , that will pull the rug from under its feet at an opportune moment! Later the tiger will tuck its tail under its legs and fall in line. BJP can cal ... Read More",53,0
BJP should not hurry in forming the govt. Already they made a mistake by going with Shiv Sena in elections. They should have fought alone. Shiv Sena would not have won so many seats all alone.,51,1
"navjot sidhu , shatrughan Sinha and SS all of them seems to be same.
जिसकी थाली में खाया उसी को बदनाम किया ।",48,1
"Sanjay Raut is the Digvijay Singh of sena. He will do to Aditya what Digvijay did to Rahul. If sena stretches too mush and the coalition breaks, it may be the beginning of the end of sena. Balasaheb must be crying in the other world. Sena lost half its power when Raj split and by taking advise of Raut, Udhav will hasten the end of sena.",40,1
SS should be dumped into Arabian sea... Udhav Thackery is a kalank in Thackery family,36,0
"NCP not interested ,no other option😆😆",31,0
Shiv Sena will pick up whatever bones the BJP throws at it soon after Pawar meets Congress and other leaders at Delhi although NCP has already conveyed their choice to sit as opposition.,27,0
Shav Sena is really dead now,27,0
Taking U turn at dead end??!!! 🐢,27,0
There is no Dharma in politics. What coalition dharma Sena is talking about? After NCP leader backed off from coalition talks Sena softened their tone and talks about coalition dharma. Amit Shah worked behind the scenes and Sena worked in front of news media and exposed their immaturity. They have to go a long way to lead a state like Maharashtra.,23,0
ShivSena will be wiped out if it takes support from NCP congress,21,0
Wonder what is there to talk? Shav Sena with 54 seats expects the CM’s chair. What a set of greedy p...,21,0
