Comment,Likes,Replies
Bechara robot bhi mar gaya ye gana sun kar Hit like for robot 1 like = 1 prayer 😂😂😂😂,33000,460
Niche mat Jana like ki bhikh mag rahe hai,96,11
kon kon ye song aaj sun raha hai kal sun raha hai hit like wala chutiyapa karna jaruri hai kya🤔🤔🤔,79,3
Bechara Robot bhi mar Gaya ye gana sun kar Hit Like for Robot 1 Like = 1 Prayer 😂😂😂,75,3
Gana sunte sunte comments padne ki bimari kis kis ko hai  😉😁😂👌  like here👇,44,2
Jisko kuch bhi samaj nahi aaya wo like karein,18000,314
"Looks like the station where the second last part is shot, is Goregaon station in Mumbai.",5,11
Whose best  Like = Neha kakar 😉😉😉 Comment= Tulsi😋😋😋....,129,4
Ye kesa robot hai jis ki Sirf 7 minutes ka song sun ke hi bettry khatam ho gayi ??? Aur Kahani to mujhe zara samajh nahi aayi 😏😏,60,2
Who see faisu in this song Hit like,50,226
"Gand marne k 3 tarike 1. Wall E ki gand maro 2. Old song ki gand maro 3. Dance step ki gand maro Sala pura bhi nhi dekha gya mujhse to 😑😑 Edit- Thanks for the ""GAND"" bhar k like 😅😅",6.4000,2
Me like sirf faisu ki liye kiya may love may jan,21,479
❤❤Are yaar kis kis ko pashnd hai bhai ya song 💖💖to like karo na😎😎😎,51,0
Mrr faisu ka lyh like toh bntta ha kon kon cahta ha faisu bahi ko tiktok account wapis mil jay.👌👌👌👌👌👌👌👌👌,1,0
Waoo... love the song... many time seen n listen.... And baat kare concept ki.......  1.  Earth par kuch nahi bchaa... expect a robo jiski charging gayi end mai.. 2. Re-birth hai ladki ka bcz its 3000 3. Ab  I think yha videos msg mila robo ko aur whi se sos pucha another planet par... ab wo ladki uss msg ko dekhgi aur ussi ladke ko search kargi jjiska msg hai... now happly live...,4,5
Whose voice is better in yaad piya ki aane lagi?  A)  Falguni patak (like)  B)  Neha kakar (comment),17000,0
Bao song h  Super dupar like  Karo dosto dil se  👇👍👍👍👍👍👍........,,7
People r hating this song but giving views😂😂..waah re duniya...🤣,4,14
Whose voice is better ? Neha kakkar(like) Falguni patak (comment),2,0
Kis Kis ko Gaana Pasand Aya   Bhosdiwale 👉 Like Gandu 👉 comment,1,22
Bhaiya song to aacha  hai but jisko samjhme nahi aaya bo like kar do,907,2
R.I.P ROBOT 1 LIKE FOR ROBO 😂😂,20,17
Jis Jisko Faisu dikha ohhhiii like kare,3,2
Bechara robot bhi mar gaya ye gana sun kar Hit like for robot 1 like = 1 prayer 😂😂😂😂,33000,460
Niche mat Jana like ki bhikh mag rahe hai,96,11
kon kon ye song aaj sun raha hai kal sun raha hai hit like wala chutiyapa karna jaruri hai kya🤔🤔🤔,79,3
Bechara Robot bhi mar Gaya ye gana sun kar Hit Like for Robot 1 Like = 1 Prayer 😂😂😂,75,3
Gana sunte sunte comments padne ki bimari kis kis ko hai  😉😁😂👌  like here👇,44,2
Jisko kuch bhi samaj nahi aaya wo like karein,18000,314
"Looks like the station where the second last part is shot, is Goregaon station in Mumbai.",5,11
Whose best  Like = Neha kakar 😉😉😉 Comment= Tulsi😋😋😋....,129,4
Ye kesa robot hai jis ki Sirf 7 minutes ka song sun ke hi bettry khatam ho gayi ??? Aur Kahani to mujhe zara samajh nahi aayi 😏😏,60,2
Who see faisu in this song Hit like,50,226
"Gand marne k 3 tarike 1. Wall E ki gand maro 2. Old song ki gand maro 3. Dance step ki gand maro Sala pura bhi nhi dekha gya mujhse to 😑😑 Edit- Thanks for the ""GAND"" bhar k like 😅😅",6.4000,2
Me like sirf faisu ki liye kiya may love may jan,21,479
❤❤Are yaar kis kis ko pashnd hai bhai ya song 💖💖to like karo na😎😎😎,51,0
Mrr faisu ka lyh like toh bntta ha kon kon cahta ha faisu bahi ko tiktok account wapis mil jay.👌👌👌👌👌👌👌👌👌,1,0
Waoo... love the song... many time seen n listen.... And baat kare concept ki.......  1.  Earth par kuch nahi bchaa... expect a robo jiski charging gayi end mai.. 2. Re-birth hai ladki ka bcz its 3000 3. Ab  I think yha videos msg mila robo ko aur whi se sos pucha another planet par... ab wo ladki uss msg ko dekhgi aur ussi ladke ko search kargi jjiska msg hai... now happly live...,4,5
Whose voice is better in yaad piya ki aane lagi?  A)  Falguni patak (like)  B)  Neha kakar (comment),17000,0
Bao song h  Super dupar like  Karo dosto dil se  👇👍👍👍👍👍👍........,,7
People r hating this song but giving views😂😂..waah re duniya...🤣,4,14
Whose voice is better ? Neha kakkar(like) Falguni patak (comment),2,0
Kis Kis ko Gaana Pasand Aya   Bhosdiwale 👉 Like Gandu 👉 comment,1,22
Bhaiya song to aacha  hai but jisko samjhme nahi aaya bo like kar do,907,2
R.I.P ROBOT 1 LIKE FOR ROBO 😂😂,20,17
Jis Jisko Faisu dikha ohhhiii like kare,3,2
Love when faisu was dancing,12,48
Faisu bhai ke liye on like,1,58
Kon kon ye gaana seedha 1.40 min me forward karke sun rha hai  like thoko,413,0
Old song ke maa Bahan kr di😎😎😎,1,28
Main 100like aur 50comment Karti Hu to Mujhe 25like aur 10comment milta hai😔😔😔😔,48,15
Bechara robot bhi mar gaya ye gana sun kar Hit like for robot 1 like = 1 prayer 😂😂😂😂,33000,460
Niche mat Jana like ki bhikh mag rahe hai,96,11
